freq,word
7,rid
3,vermin
5,asks
2,pinched
1,skivvys
51,room
103,does
174,always
12,keeps
1,plainlooking
9,servants
12,lead
1,temptation
2,ursula
82,brought
179,away
9,peering
5,rage
3,caliban
31,seeing
5,wilde
253,only
19,alive
16,drawing
21,pointing
5,bitterness
8,symbol
10,cracked
4,lookingglass
12,servant
39,suddenly
11,linked
53,arm
77,walked
3,clacking
13,thrust
3,tease
11,kindly
314,more
28,spirit
169,than
191,any
1,parried
4,fears
1,lancet
63,cold
18,steel
16,pen
1,oxy
5,downstairs
46,touch
13,guinea
3,stinking
12,tin
10,selling
1,jalap
1,zulus
958,or
315,some
6,swindle
312,other
61,work
58,together
176,might
22,island
1,hellenise
4,cranlys
116,having
14,beg
4,swine
10,trust
65,nose
45,makes
21,noise
178,ill
47,bring
8,seymour
2,ragging
31,worse
2,clive
1,kempthorpe
192,young
14,shouts
2,moneyed
27,voices
1,kempthorpes
12,rooms
2,palefaces
720,their
8,ribs
4,clasping
123,another
66,shall
2,expire
17,break
17,news
1,aubrey
37,die
4,slit
4,ribbons
3,whipping
2,hops
2,hobbles
76,table
23,heels
3,chased
1,ades
2,magdalen
2,tailors
5,shears
5,scared
3,calfs
5,gilded
1,marmalade
149,want
1,debagged
48,play
9,giddy
4,ox
108,open
68,window
1,startling
64,evening
1,quadrangle
10,deaf
4,gardener
3,aproned
5,masked
8,matthew
2,arnolds
2,pushes
1,mower
3,sombre
11,lawn
1,narrowly
20,dancing
1,motes
2,grasshalms
10,ourselves
1,paganism
4,omphalos
111,theres
100,nothing
40,wrong
21,except
5,impatiently
9,cough
85,quite
8,frank
114,looking
4,blunt
7,cape
4,bray
6,snout
13,sleeping
3,whale
4,freed
33,wish
75,remember
39,spoke
62,wind
97,passed
12,fanning
33,softly
2,uncombed
40,silver
2,anxiety
1,depressed
154,own
278,first
249,day
171,house
28,mothers
54,quickly
9,ideas
5,sensations
20,happened
45,making
67,tea
7,landing
51,hot
3,visitor
5,drawingroom
404,did
264,say
42,forget
46,whose
7,beastly
124,dead
8,flush
13,seem
11,younger
2,engaging
67,rose
17,harm
22,shook
1,constraint
5,nervously
19,yours
10,pop
141,every
10,mater
7,richmond
48,cut
3,tripes
1,dissectingroom
199,thing
39,else
57,simply
40,doesnt
64,matter
98,wouldnt
8,cursed
9,strain
2,injected
276,way
2,cerebral
2,lobes
2,functioning
27,doctor
219,sir
23,peter
1,teazle
6,picks
1,buttercups
3,quilt
9,humour
134,till
1,sulk
1,whinge
3,hired
1,lalouettes
114,suppose
114,didnt
73,mean
3,offend
37,memory
16,spoken
2,boldness
1,shielding
11,gaping
4,wounds
116,words
226,very
45,thinking
8,offence
9,swung
16,heel
6,impossible
50,person
7,exclaimed
21,post
4,headland
11,grew
6,dim
2,pulses
9,beating
2,veiling
8,fever
30,loudly
122,coming
1,offences
4,chuck
2,loyola
2,sassenach
46,wants
2,rashers
12,level
4,roof
1,mope
2,inconsequent
2,moody
3,brooding
6,vanished
3,drone
4,descending
4,boomed
647,no
68,turn
9,brood
34,loves
11,bitter
13,mystery
4,fergus
9,rules
6,brazen
2,cars
1,woodshadows
8,floated
22,peace
2,seaward
1,inshore
2,whitened
7,spurned
1,lightshod
4,hurrying
82,feet
29,breast
5,twining
1,stresses
3,plucking
1,harpstrings
1,merging
18,chords
1,wavewhite
2,wedded
4,shimmering
19,tide
13,cloud
12,cover
76,sun
71,slowly
5,wholly
2,shadowing
2,deeper
36,waters
37,song
34,sang
50,alone
139,door
66,wanted
128,hear
47,silent
5,awe
36,pity
3,bedside
10,crying
6,wretched
104,bed
13,secrets
1,featherfans
3,tasselled
1,dancecards
5,powdered
1,musk
1,gaud
3,amber
2,beads
12,locked
11,drawer
1,birdcage
17,hung
88,girl
127,heard
1,royce
40,sing
4,pantomime
3,turko
23,terrible
80,boy
12,enjoy
1,invisibility
1,phantasmal
6,mirth
1,muskperfumed
60,nature
3,toys
6,memories
1,beset
13,brain
44,glass
30,kitchen
55,tap
6,approached
10,sacrament
1,cored
10,apple
17,filled
17,sugar
2,roasting
5,hob
3,autumn
7,shapely
1,fingernails
2,reddened
4,squashed
3,lice
2,childrens
6,shirts
32,secret
1,glazing
22,staring
17,shake
12,bend
1,ghostcandle
7,agony
2,ghostly
2,tortured
11,hoarse
10,rattling
9,horror
122,while
19,prayed
23,knees
10,strike
5,liliata
5,rutilantium
11,te
2,confessorum
3,turma
3,circumdet
4,iubilantium
4,virginum
5,chorus
2,excipiat
2,ghoul
1,chewer
4,corpses
54,live
1,ahoy
18,nearer
18,calling
10,trembling
28,souls
43,cry
52,warm
41,running
321,good
2,mosey
21,breakfast
23,ready
1,apologising
5,waking
45,turning
36,jesus
22,sake
1,sakes
6,disappeared
3,reappeared
14,clever
33,paid
38,school
5,kip
94,four
20,shining
5,sovereigns
13,glorious
26,drunk
1,astonish
1,druidy
2,druids
3,omnipotent
18,flung
156,hands
1,tramped
40,stone
36,singing
8,tune
2,cockney
14,accent
19,merry
377,time
24,drinking
9,whisky
11,beer
33,wine
5,coronation
4,sunshine
1,merrying
3,nickel
2,shavingbowl
7,shone
25,forgotten
44,leave
5,friendship
29,feeling
3,coolness
12,smelling
3,clammy
1,slaver
36,stuck
618,so
21,carried
13,boat
11,incense
6,clongowes
168,same
5,server
7,gloomy
2,domed
1,livingroom
2,gowned
65,form
38,moved
20,fro
7,hearth
9,hiding
6,revealing
8,glow
3,shafts
57,soft
7,daylight
52,fell
1,flagged
33,floor
135,high
3,barbacans
30,meeting
10,rays
2,coalsmoke
6,fumes
9,fried
2,grease
7,choked
5,locker
27,tall
49,figure
2,hammock
205,been
52,sitting
28,doorway
18,pulled
18,inner
8,doors
14,key
1,janey
1,mack
3,howled
138,without
56,fire
13,lock
7,scraped
2,harshly
42,twice
45,heavy
61,set
6,ajar
17,welcome
44,bright
21,entered
1,haled
1,upended
9,valise
118,wait
11,tossed
3,fry
10,dish
58,large
12,teapot
11,heavily
13,sighed
10,relief
6,melting
22,candle
10,remarked
6,hush
114,word
24,subject
14,wake
51,bread
28,butter
9,honey
3,grub
13,bless
149,lord
47,thy
4,gifts
27,wheres
3,jay
51,milk
6,fetched
9,loaf
14,pot
1,buttercooler
19,sudden
5,pet
40,sort
17,eight
62,drink
2,thirstily
10,lemon
31,paris
1,fads
7,sandycove
186,woman
2,blessings
6,jumping
23,chair
36,sit
11,pour
27,bag
1,fumbling
21,damned
20,eggs
1,hacked
8,slapped
175,three
9,plates
57,saying
3,nomine
1,patris
27,et
1,filii
1,spiritus
1,sancti
6,lumps
96,each
2,hewing
24,thick
2,slices
37,womans
3,wheedling
6,grogan
5,jove
203,mrs
2,cahill
15,begob
6,maam
23,send
1,lunged
1,messmates
10,slice
2,impaled
25,knife
7,folk
9,earnestly
85,book
92,five
27,lines
7,text
79,ten
24,pages
16,notes
1,fishgods
3,dundrum
20,printed
2,weird
15,sisters
71,year
122,big
66,fine
3,puzzled
18,lifting
7,brows
7,recall
57,brother
2,grogans
2,mabinogion
1,upanishads
14,doubt
8,reasons
24,fancy
24,ate
4,exist
2,imagines
1,kinswoman
49,mary
10,ann
45,smiled
15,charming
1,finical
26,showing
10,blinking
3,pleasantly
1,overclouding
15,features
10,growled
1,hoarsened
1,rasping
1,hewed
3,vigorously
2,hising
10,petticoats
4,crammed
124,mouth
4,munched
2,droned
6,darkened
10,entering
7,jug
15,glory
47,whom
12,glancing
100,sure
18,reached
141,took
1,milkjug
1,islanders
2,casually
56,speak
8,frequently
5,collector
2,prepuces
7,quart
28,watched
13,measure
6,thence
38,rich
14,hers
4,shrunken
2,paps
17,poured
1,measureful
1,tilly
